Date,Ticker-Added,Security-Added,Ticker-Removed,Security-Removed,Reason
3-Jun-19,CTVA,Corteva,FLR,Fluor Corporation,CTVA spun off from DWDP (which then changed symbol to DD)[23]
9-Aug-19,IEX,IDEX Corporation,FL,Foot Locker,Foot Locker moved to the S&P MidCap 400.[19]
1-Jul-14,AMG,Affiliated Managers Group,FRX,Forest Laboratories,Actavis acquires Forest Laboratories[118]
5-Jan-16,WLTW,Willis Towers Watson,FOSL,Fossil Group,WSH merges with TW (and renames to WLTW)[87]
12-Sep-08,CRM,Salesforce.com,FRE,Freddie Mac,Capitalization rebalance.[187]
20-Mar-17,RJF,Raymond James Financial,FTR,Frontier Communications,Market capitalization changes.
25-Apr-16,GPN,Global Payments Inc.,GME,GameStop,Global Payments is acquiring Heartland Payment Systems[77]
18-Nov-15,SYF,Synchrony Financial,GNW,Genworth Financial,GE spinning off Synchrony Financial[92]
1-Apr-11,BLK,BlackRock,GENZ,Genzyme Corp.,Acquired by Sanofi-aventis (SNY)[170]
28-Aug-18,ANET,Arista Networks,GGP,GGP Inc.,GGP acquired byæBrookfield Property Partners.[36]
31-Jul-12,ESV,Ensco plc (nowæValaris plc,GR,Goodrich Corporation,Acquired by United Technologies (UTX)[149]
20-Sep-14,UHS,Universal Health Services,GHC,Graham Holdings,Market cap changes
1-Jul-05,STZ,Constellation Brands,GLK,Great Lakes Chemical,Acquired byæCrompton Corp.[198]
6-Jun-13,GM,General Motors,HNZ,H. J. Heinz Company,HNZ acquired by consortium[136]
22-Jun-20,TDY,Teledyne Technologies,HOG,Harley-Davidson,Market capitalization change.[6]
16-Mar-17,SNPS,Synopsys,HAR,Harman Int'l Industries,Samsung ElectronicsæCo. Ltd. acquired Harman International Industries.[59]
22-May-20,WST,West Pharmaceutical Services,HP,Helmerich & Payne,Market capitalization change.[7]
2-Sep-15,UAL,United Continental Holdings,HSP,Hospira Inc,Hospira taken over[96]
2-Nov-15,HPE,Hewlett Packard Enterprise,HCBK,Hudson City Bancorp Inc,HPQ spins off HPE[93]
26-Feb-10,HP,Helmerich & Payne,RX,IMS Health,Taken private[181]
1-Jul-15,JBHT,J. B. Hunt,TEG,Integrys Energy Group Inc.,Integris taken over.[102]
20-Jun-14,XEC,Cimarex Energy,IGT,International Game Technology,Market capitalization changes[119]
31-Oct-11,XYL,Xylem Inc.,ITT,ITT Corp.,Spun off from ITT Corp.[163]
2-Dec-13,ALLE,Allegion,JCP,J.C. Penney,Allegion spun off by Ingersoll Rand[128]
5-Nov-14,LVLT,Level 3 Communications,JBL,Jabil Circuit,Market cap changes[113]
18-Nov-11,CBE,Cooper Industries,JNS,Janus Capital Group,Janus Capital Group's market capitalization is less than $1.2 billion
,,,,,and is no longer representative of the large cap market space.[162]
23-Dec-13,MHK,Mohawk Industries,JDSU,JDS Uniphase,Market capitalization changes
26-Sep-19,NVR,NVR Inc,JEF,Jefferies Financial Group Inc,JEF spun off SPB.[17]
6-Sep-16,MTD,Mettler Toledo,JCI,Johnson Controls Inc,TYC acquires JCI (and becomes new JCI).[67]
3-Mar-09,VTR,Ventas Inc.,JNY,Jones Apparel Group,Capitalization rebalance.
7-Oct-15,VRSK,Verisk Analytics,JOY,Joy Global,Market capitalization change.[94]
7-Mar-16,UDR,"UDR, Inc.",GMCR,Keurig Green Mountain,JAB Holding Company acquired Keurig Green Mountain[81]
24-Aug-07,LUK,Leucadia National,KSE,KeySpan,Acquired byæNational Grid plc[194]
17-Dec-10,CVC,Cablevision Systems Corp.,KG,King Pharmaceuticals Inc.,Acquired by Pfizer Inc. (PFE).[174]
6-Jul-15,KHC,Kraft Heinz,KRFT,Kraft Foods Group,Kraft merger with Heinz.[100]
1-Jul-19,MKTX,MarketAxess,LLL,L3 Technologies,L3 purchased by Harris Corporation[21]
7-Dec-99,YHOO,Yahoo!,LDW,Laidlaw,Market Cap change.[202]
2-Dec-16,EVHC,Envision Healthcare,LM,Legg Mason,Market capitalization changes
16-Sep-08,HRS,Harris Corporation,LEH,Lehman Brothers,Lehman Brothers bankruptcy.[186]
13-Oct-17,NCLH,Norwegian Cruise Line Holdings,LVLT,Level 3 Communications,CenturyLink Incæacquired LVLT.[47]
1-Oct-12,ADT,ADT Corp,LXK,Lexmark Int'l Inc,Tyco spun off ADT[147]
24-Jan-14,TSCO,Tractor Supply Company,LIFE,Life Technologies,Life Technologies acquired by Thermo Fisher Scientific Inc[125]
13-Mar-17,DISH,Dish Network,LLTC,Linear Technology,S&P 500 constituent Analog Devices Inc. (NASD:ADI) acquired Linear Technology.[60]
11-Jun-15,QRVO,Qorvo,LO,Lorillard Inc.,Lorillard Inc. gets acquired.[104]
8-May-14,AVGO,Avago Technologies,LSI,LSI Corporation,Avago acquires LSI[120]
23-Dec-19,STE,STERIS plc,MAC,Macerich,Market capitalization change.[12]
6-Apr-20,,,M,"Macy's, Inc.",Market capitalization change.[9]
26-Jul-17,RMD,ResMed,MNK,Mallinckrodt,Market capitalization changes.
5-Jul-11,ACN,Accenture plc,MI,Marshall & Iisley Corp.,Marshall & Iisley is being bought by Bank of Montreal[166]
1-Jun-11,ANR,"Alpha Natural Resources, Inc.",MEE,Massey Energy Company,Alpha Natural Resources is acquiring Massey Energy in a deal expected to be
,,,,,completed on or about that date pending final approvals.[168]
7-Jun-19,BMS,Bemis Co Inc,MAT,Mattel Inc,Bemis merged with Amcor; subsequently renamed toæAmcor plc[22]
27-Sep-07,TSO,Tesoro Corp.,MXIM,Maxim Integrated Products,MXIM delisted from NASDAQ exchange.[193]
28-Feb-11,COV,Covidien plc,MFE,McAfee Inc.,Acquired by Intel Corp. (INTC)[172]
19-Jun-17,RE,Everest ReæGroup,MJN,Mead Johnson,Reckitt BenckiseræGroup plc acquired Mead Johnson Nutrition.[53]
3-Apr-12,FOSL,"Fossil, Inc.",MHS,Medco Health Solutions Inc.,Acquired by Express Scripts (ESRX)[156]
16-Dec-11,DLTR,Dollar Tree Inc.,WFR,MEMC Electronic Materials Inc.,Market capitalization changes
30-Apr-13,REGN,Regeneron Pharmaceuticals,PCS,MetroPCS,A majority of MetroPCS was acquired by T-Mobile[139]
14-Jul-10,CB,Chubb Limited,MIL,Millipore Inc.,Acquired by Merck KGaA (MKGAY)[177]
10-Dec-13,GGP,General Growth Properties,MOLX,Molex Inc.,MOLX acquired byæKoch Industries.[127]
7-Jun-18,TWTR,Twitter,MON,Monsanto,Bayeræacquired Monsanto.[40]
16-Dec-11,PRGO,Perrigo Co.,MWW,Monster Worldwide Inc.,Market capitalization changes
21-May-12,ALXN,Alexion Pharmaceuticals,MMI,Motorola Mobility,Acquired by Google (GOOG)[153]
26-Jul-17,PKG,Packaging Corporation of America,MUR,Murphy Oil,Market capitalization changes.
23-Mar-15,SLG,SL Green Realty,NBR,Nabors Industries,Market Capitalization Changes.
23-Sep-11,MOS,The Mosaic Company,NSM,National Semiconductor Corp.,Acquired byæTexas Instrumentsæ(TXN).[165]
5-Jun-18,EVRG,Evergy,NAVI,Navient Corp,Westar Energy (NYSE: WR) acquired Great Plains Energy (NYSE: GXP) and changed name to Evergy.[41]
1-Oct-07,TDC,Teradata Corp.,NCR,NCR Corp.,Teradata spun off by NCR Corp.[193]
3-Oct-19,LVS,Las Vegas Sands,NKTR,Nektar Therapeutics,Market Cap changes[16]
15-Feb-19,ATO,Atmos Energy Corp,NFX,Newfield Exploration,ECA acquired NFX[26]
12-Dec-11,GAS,AGL Resources Inc.,GAS,Nicor Inc.,"Nicor acquired by AGL, which retained the GAS ticker.[161]"
20-Jul-15,PYPL,PayPal,NE,Noble Corp,PayPal Spun off by eBay[98]
22-Jun-20,TYL,Tyler Technologies,JWN,Nordstrom,Market capitalization change.[6]
27-Apr-11,CMG,Chipotle Mexican Grill,NOVL,"Novell, Inc.",Acquired by private equity firms.[169]
5-Jun-12,LRCX,Lam Research,NVLS,Novellus Systems,Acquired by Lam Research (LRCX)[152]
13-Nov-13,KORS,Michael Kors,NYX,NYSE Euronext,ICE Exchange acquired NYSE Euronext[129]
17-Dec-10,NFLX,Netflix Inc.,ODP,Office Depot Inc.,Market Cap changes.
2-Dec-16,MAA,Mid-America Apartments,OI,Owens-Illinois,Market capitalization changes[63]
5-Dec-00,SBL,Symbol Technologies,OI,Owens-Illinois,Market Cap changes.
17-Nov-10,IR,Ingersoll-Rand plc,PTV,Pactiv Corp.,Reynolds Group Holding Ltd. acquired Pactiv.[175]
28-Aug-15,ATVI,Activision Blizzard,PLL,Pall Corp,Pall taken over[96]
19-Mar-18,SIVB,SVB Financial,PDCO,Patterson Companies,Market capitalization changes.
20-Sep-14,URI,United Rentals,BTU,Peabody Energy,Market cap changes[114]
30-Mar-16,HOLX,Hologic Inc,POM,Pepco Holdings Inc,Exelon Corp acquired Pepco[80]
12-Mar-15,SWKS,Skyworks Solutions Inc.,PETM,PetSmart Inc.,PetSmart acquired by private equity consortium[109]
18-Jan-19,TFX,Teleflex,PCG,PG&E Corp,PCG filed for bankruptcy[27]
1-Mar-17,CBOE,CBOE Holdings,PBI,Pitney Bowes Inc,CBOE acquires BATS[61]
22-Feb-16,CXO,Concho Resources,PCL,Plum Creek Timber,PCL taken over by WY[83]
1-Feb-16,CFG,Citizens Financial Group,PCP,Precision Castparts Corp.,CFG replaces PCP[84]
2-Jul-12,STX,Seagate Technology,PGN,Progress Energy Inc,Acquired by Duke Energy (DUK)[150]
1-Jul-15,BXLT,Baxalta,QEP,QEP Resources,Baxalta spun off by Baxter.[103]
30-Jun-10,QEP,QEP Resources,STR,Questar Corp.,"Company split. QEP retained, but ticker changed.[178]"
25-Sep-03,ESRX,Express Scripts,QTRN,Quintiles Transnational,Taken private[199]
31-Mar-11,EW,Edwards Lifesciences,Q,Qwest Communications,Acquired by CenturyLink[171]
11-Dec-12,GRMN,Garmin Ltd.,RRD,R.R. Donnelley,Market capitalization changes[143]
30-Jun-11,MPC,Marathon Petroleum Corp,RSH,RadioShack Corp.,Market capitalization adjustments.[167]
18-Jun-18,BR,Broadridge Financial Solutions,RRC,Range Resources,Capitalization rebalance.[39]
6-Apr-20,,,RTN,Raytheon Company,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[9]
15-Jul-19,TMUS,T-Mobile US,RHT,Red Hat,S&P 500 & 100 constituentæIBMæacquired Red Hat.[20]
26-Jul-17,MGM,MGM Resorts International,RAI,Reynolds American,British American Tobaccoæplc (NYSE MKT:BTI) acquired Reynolds American.[51]
27-Jul-00,JDSU,JDS Uniphase,RAD,RiteAid,Market Cap change.[201]
3-Dec-18,LW,Lamb Weston Holdings Inc,COL,Rockwell Collins,UTX acquired COL[30]
18-Aug-14,MNK,Mallinckrodt plc,RDC,Rowan Companiesæplc,Market cap changes[115]
19-Jun-17,ANSS,ANSYS Inc.,R,Ryder Systems Inc.,
30-Mar-07,KFT,Kraft Foods,TSG,Sabre Holdings,Taken Private[195]
27-Jan-15,HCA,HCA Holdings,SWY,Safeway Inc,Safeway acquired by private equity consortium[110]
20-Sep-13,AME,Ametek,SAI,SAIC,Market capitalization changes
13-May-16,ALK,Alaska Air Group Inc,SNDK,SanDisk Corporation,SNDK acquired by WDC[75]
29-Jun-12,MNST,Monster Beverage,SLE,Sara Lee Corp.,Split up of Sara Lee[151]
2-Jan-19,FRC,First Republic Bank,SCG,SCANA,Dominion Energy acquired SCANA Corporation[28]
3-Nov-09,PCLN,Priceline.com,SGP,Schering-Plough Corp.,Acquired by Merck & Co. (MRK)[182]
7-Mar-18,IPGP,IPG Photonics,SNI,Scripps Networks Interactive,Discovery Communicationsæacquired SNI.[45]
5-Sep-12,LYB,LyondellBasell,SHLD,Sears Holding Corporation,SHLD below public float threshold[148]
19-Nov-15,ILMN,Illumina Inc,SIAL,Sigma-Aldrich Corp,Sigma-Aldrich acquired by Merck KGaA (MKGAY)[91]
19-Mar-18,TTWO,Take-Two Interactive,SIG,Signet Jewelers,Market capitalization changes.[44]
1-May-14,NAVI,Navient,SLM,SLM Corporation,Navient Spun off from SLM[121]
26-Aug-10,TYC,Tyco International Ltd.,SII,Smith International Inc.,Acquired by Schlumberger Ltd. (SLB)[176]
2-Oct-07,EXPE,"Expedia, Inc.",SLR,Solectron,Solectron acquired byæFlextronics.[193]
4-Apr-17,DXC,DXC Technology,SWN,Southwestern Energy,"HPE spins off Everett Inc., merged with CSC to form DXC[56][57]"
28-Feb-17,INCY,Incyte,SE,Spectra Energy Corp,SE acquired by ENB[61]
8-Jul-13,NLSN,Nielsen Holdings,S,Sprint Nextel Corp.,Softbank consortium purchase results in public float below 50%[133]
5-Jan-17,IDXX,IDEXX Laboratories,STJ,St. Jude Medical,S&P 100 & 500 constituent Abbott Laboratories (NYSE:ABT) acquired St. Jude Medical.[62]
18-Sep-17,CDNS,Cadence Design Systems,SPLS,Staples Inc.,Sycamore Partnersæacquired Staples.[48]
22-Sep-16,COO,The Cooper Companies,HOT,Starwood Hotels & Resorts Worldwide Inc,MAR acquires HOT[65]
3-Dec-18,FANG,Diamondback Energy,SRCL,Stericycle,Market Capitalization change[30]
10-Oct-12,PETM,"PetSmart, Inc.",SUN,Sunoco Inc.,Acquired by Energy Transfer Partners (ETP)[145]
9-Dec-19,ODFL,Old Dominion Freight Line,STI,SunTrust Banks,BB&T acquired SunTrust to formæTruist Financial.[13]
23-Apr-12,PSX,Phillips 66,SVU,Supervalu Inc.,ConocoPhillips spun off Phillips 66[155]
10-Jan-07,AVB,"AvalonBay Communities, Inc.",SBL,Symbol Technologies,Acquired by Motorola[196]
1-Jul-16,ALB,Albemarle Corp,TE,TECO Energy,TE acquired by EMA[68]
2-Jun-17,INFO,IHS Markit Ltd.,TGNA,"Tegna, Inc.",TGNA spins offæCars.com[54]
20-Dec-11,TRIP,TripAdvisor Inc.,TLAB,Tellabs Inc.,Expedia Inc. spun off TripAdvisor Inc.[159]
18-Apr-16,ULTA,"Ulta Salon, Cosmetics & Fragrance Inc",THC,Tenet Healthcare,Ulta replaces Tenet[78]
19-Jun-17,ALGN,Align Technology Inc.,TDC,Teradata Corp.,Market capitalization changes.[52]
23-Dec-13,FB,Facebook,TER,Teradyne,Market capitalization changes
27-Feb-19,WAB,Wabtec Corporation,GT,The Goodyear Tire & Rubber Company,WAB acquired GE transportation business[25]
17-Dec-10,NFX,Newfield Exploration,NYT,The New York Times Co.,Market Cap changes.
20-Jun-18,FLT,FleetCor Technologies,TWX,Time Warner,AT&T acquired Time Warner.[38]
18-May-16,DLR,Digital Realty Trust Inc,TWC,Time Warner Cable,TWC acquired by CHTR[74]
21-Dec-12,DLPH,Delphi Automotive,TIE,Titanium Metals,TIE acquired by Precision Cast Parts (PCP)[142]
26-Jul-17,DRE,Duke RealtyæCorp,RIG,Transocean,Market capitalization changes.[51]
20-Dec-07,RRC,Range Resources,TRB,Tribune Co.,Taken private[190]
23-Dec-19,ZBRA,Zebra Technologies,TRIP,TripAdvisor,Market capitalization change.[12]
23-Sep-19,CDW,CDW,TSS,TSYS,S&P 500 constituent Global Payments Inc. (NYSE: GPN) acquired TSS.[18]
2-Jul-14,MLM,Martin Marietta Materials,X,United States Steel Corporation,Market capitalization changes[117]
20-Mar-17,AMD,Advanced Micro Devices,URBN,Urban Outfitters,Market capitalization changes.[58]
5-Dec-19,WRB,W. R. Berkley Corporation,VIAB,Viacom,CBS acquired Viacom to formæViacomCBS.[14]
5-Dec-00,AYE,Allegheny Energy,GRA,W.R. Grace,Market Cap changes.
31-Dec-08,OI,Owens-Illinois,WB,Wachovia Bank,Wachovia Bank acquired by Wells Fargo.[185]
28-Jan-20,PAYC,Paycom,WCG,WellCare,S&P 500 constituent Centene Corp. (NYSE: CNC) acquired Wellcare Health Plans.[11]
29-Aug-17,Q,QuintilesIMS,WFM,Whole Foods Market,Amazon.com Inc. acquired Whole Foods Market.[49]
7-Apr-15,O,Realty Income Corporation,WIN,Windstream Holdings Inc,Market capitalization change.[105]
21-Mar-14,GMCR,Keurig Green Mountain,WPX,"WPX Energy, Inc.",Market capitalization changes[124]
31-May-18,ABMD,Abiomed,WYN,Wyndham Worldwide,Wyndham Worldwide spun off Wyndham Hotels & Resorts Inc. (NYSE:WH).[42]
14-Sep-18,WCG,WellCare,XL,XL Group,XL acquired byæAXA.[35]
28-Jun-10,KMX,"CarMax, Inc.",XTO,XTO Energy Inc.,Acquired by ExxonMobil Inc. (XOM)[179]
19-Jun-17,HLT,Hilton Worldwide Holdings Inc.,YHOO,Yahoo! Inc.,VZ acquired YHOO operations; remainder of YHOO converted to closed-end company known asæAltaba.[52]

